Time (s),Voltage (mV)
879984.1941256,0.0
879984.1942096,0.0
879984.1942933,0.0
879984.1943773,0.0
879984.1944614,0.0
879984.1945453,0.0
879984.1946282,0.0
879984.194712,3.0
879984.1947959,0.0
879984.194881,0.0
879984.1949662,0.0
879984.1950544,0.0
879984.1951395,3.0
879984.1952241,0.0
879984.195309,3.0
879984.1953945,0.0
879984.1954793,0.0
879984.1955644,3.0
879984.1956481,0.0
879984.1957318,0.0
879984.1958167,0.0
879984.1959009,0.0
879984.1959857,0.0
879984.1960706,0.0
879984.1961548,0.0
879984.1962399,0.0
879984.1963246,0.0
879984.1964092,0.0
879984.1964941,0.0
879984.1965795,0.0
879984.1966634,0.0
879984.1967476,0.0
879984.1968318,3.0
879984.1969164,0.0
879984.1970014,0.0
879984.1970869,0.0
879984.1971716,0.0
879984.197256,0.0
879984.1973398,0.0
879984.1974235,0.0
879984.1975079,0.0
879984.1975921,0.0
879984.1976755,0.0
879984.1977597,0.0
879984.1978445,0.0
879984.1979305,0.0
879984.1980161,0.0
879984.1980997,0.0
879984.1981838,0.0
879984.1982687,0.0
879984.1983545,0.0
879984.19844,0.0
879984.1985431,0.0
879984.1986619,0.0
879984.1987647,0.0
879984.1988833,0.0
879984.1989995,0.0
879984.1991001,0.0
879984.1991845,0.0
879984.1992698,0.0
879984.1993542,0.0
879984.1994392,0.0
879984.1995239,0.0
879984.1996091,0.0
879984.1996938,0.0
879984.1997784,0.0
879984.1998622,0.0
879984.1999459,0.0
879984.20003,0.0
879984.2001138,0.0
879984.2001984,0.0
879984.2002832,0.0
879984.2003686,0.0
879984.2004537,0.0
879984.200538,0.0
879984.2006224,0.0
879984.2007081,0.0
879984.200792,0.0
879984.2008773,0.0
879984.2009615,0.0
879984.2010464,3.0
879984.20113,0.0
879984.2012141,0.0
879984.201299,0.0
879984.2013854,3.0
879984.201471,0.0
879984.2015552,0.0
879984.2016396,0.0
879984.2017237,0.0
879984.2018077,0.0
879984.2018928,0.0
879984.2019773,3.0
879984.2020623,0.0
879984.202147,0.0
879984.2022316,0.0
879984.2023163,0.0
879984.2024002,0.0
879984.2024857,0.0
879984.2025709,0.0
879984.202655,0.0
879984.20274,0.0
879984.2028255,0.0
879984.2029112,0.0
879984.2029963,0.0
879984.2030805,0.0
879984.2031651,0.0
879984.203249,0.0
879984.2033327,0.0
879984.2034214,0.0
879984.2035062,0.0
879984.2035911,0.0
879984.2037597,0.0
879984.203875,0.0
879984.2040272,0.0
879984.2041425,0.0
879984.2042276,0.0
879984.2043136,0.0
879984.2043991,0.0
879984.2044839,0.0
879984.2045689,0.0
879984.2046537,0.0
879984.2047393,0.0
879984.2048246,0.0
879984.2049096,0.0
879984.2049944,0.0
879984.205079,0.0
879984.2051642,0.0
879984.2052491,0.0
879984.2053342,0.0
879984.2054186,0.0
879984.2055856,0.0
879984.2057353,0.0
879984.2058333,0.0
879984.205918,0.0
879984.2060019,0.0
879984.2060857,0.0
879984.20617,3.0
879984.2062548,0.0
879984.2063416,0.0
879984.2064261,0.0
