Time (s),Voltage (mV)
879662.3402792,0.0
879662.3416366,0.0
879662.3426206,0.0
879662.3436229,0.0
879662.3443445,0.0
879662.3456436,0.0
879662.3466144,0.0
879662.3476279,3.0
879662.3486203,0.0
879662.3496235,0.0
879662.3506339,0.0
879662.3512467,0.0
879662.3522078,0.0
879662.3532767,0.0
879662.3542628,0.0
879662.3552616,0.0
879662.3562623,0.0
879662.3572617,0.0
879662.3582618,3.0
879662.3592669,0.0
879662.3602625,0.0
879662.3612625,0.0
879662.3622621,0.0
879662.3632628,0.0
879662.3642637,0.0
879662.3652621,0.0
879662.366263,0.0
879662.3671814,0.0
879662.3682668,0.0
879662.3692626,0.0
879662.3702678,0.0
879662.3712748,0.0
879662.3722648,0.0
879662.3732646,0.0
879662.3742631,0.0
879662.3752716,0.0
879662.3762634,0.0
879662.3772661,0.0
879662.3782652,0.0
879662.379266,0.0
879662.3802653,0.0
879662.381264,0.0
879662.3822679,0.0
879662.3831653,0.0
879662.3842688,0.0
879662.3851663,0.0
879662.3862703,0.0
879662.3872716,0.0
879662.3882752,3.0
879662.389264,0.0
879662.3902657,0.0
879662.3912642,0.0
879662.3922645,0.0
879662.393267,0.0
879662.3942656,0.0
879662.3952747,0.0
879662.3962638,0.0
879662.3972739,0.0
879662.3982667,0.0
879662.3993361,0.0
879662.4002649,0.0
879662.4012641,0.0
879662.4022651,0.0
879662.4032638,0.0
879662.4042766,0.0
879662.4052734,0.0
879662.4062744,0.0
879662.4072766,0.0
879662.4082822,0.0
879662.4092752,0.0
879662.4102626,0.0
879662.4112628,0.0
879662.412266,0.0
879662.4132662,0.0
879662.4142625,0.0
879662.4152724,0.0
879662.4162732,0.0
879662.4172633,0.0
879662.4182642,0.0
879662.419264,0.0
879662.4202636,0.0
879662.4212637,0.0
879662.4222636,0.0
879662.4232626,0.0
879662.4242628,0.0
879662.4252662,0.0
879662.4262637,0.0
879662.4272647,0.0
879662.4282659,0.0
879662.4292643,0.0
879662.4303142,0.0
879662.4312678,0.0
879662.4322623,3.0
879662.4332655,0.0
879662.4342791,0.0
879662.4352737,0.0
879662.4362664,0.0
879662.4372652,0.0
879662.4382194,0.0
879662.4392635,0.0
879662.4402614,0.0
879662.4412622,0.0
879662.4422615,0.0
879662.4432726,0.0
879662.4442776,0.0
879662.4452627,0.0
879662.4463316,0.0
879662.4471873,0.0
879662.4482493,0.0
879662.449145,0.0
879662.4501794,0.0
879662.4512373,0.0
879662.4522451,0.0
879662.4532364,0.0
879662.454236,0.0
879662.4552352,0.0
879662.456238,0.0
879662.4571458,0.0
879662.4582374,0.0
879662.4592397,0.0
879662.4602358,0.0
879662.4612448,0.0
879662.4622081,0.0
879662.4631492,3.0
879662.4641791,0.0
879662.4651024,0.0
879662.4661004,0.0
879662.4671101,0.0
879662.4681081,0.0
879662.4691,0.0
879662.4702045,0.0
879662.4712066,0.0
879662.4722008,0.0
879662.4731977,0.0
879662.4741923,0.0
879662.475192,0.0
879662.4761944,0.0
879662.4771484,0.0
879662.4781194,0.0
879662.4791471,0.0
879662.4801461,0.0
879662.4811455,0.0
879662.4821444,0.0
879662.483192,0.0
879662.4846387,0.0
879662.48562,0.0
879662.4866169,0.0
879662.4876177,0.0
879662.4886175,0.0
879662.4896175,3.0
879662.4906187,0.0
879662.4916216,0.0
879662.4926156,0.0
879662.4936877,0.0
879662.4941733,0.0
879662.495156,0.0
879662.4966183,0.0
879662.497621,0.0
879662.4986149,0.0
879662.4992381,0.0
879662.5002675,0.0
879662.5012644,0.0
879662.5022794,0.0
879662.5032637,0.0
879662.5042617,0.0
879662.5052736,3.0
879662.5062638,0.0
