Time (s),Voltage (mV)
0.0,877859.3857252
0.0,877859.3858163
0.0,877859.3859077
0.0,877859.3859992
0.0,877859.3860909
0.0,877859.3861817
0.0,877859.3862729
0.0,877859.3863644
0.0,877859.3864555
0.0,877859.3865465
0.0,877859.3866375
3.0,877859.3867289
0.0,877859.3868204
0.0,877859.3869111
0.0,877859.3870031
0.0,877859.3870938
0.0,877859.3871855
0.0,877859.3872769
0.0,877859.3873695
0.0,877859.387461
0.0,877859.3875523
3.0,877859.3876432
0.0,877859.3877342
0.0,877859.3878253
0.0,877859.3879163
0.0,877859.3880073
0.0,877859.3880978
0.0,877859.388189
0.0,877859.3882803
0.0,877859.3883709
0.0,877859.3884622
0.0,877859.3885544
0.0,877859.3886462
0.0,877859.3887393
0.0,877859.3888307
0.0,877859.3889211
0.0,877859.3890118
0.0,877859.3891028
0.0,877859.389193
0.0,877859.3892833
0.0,877859.3893741
0.0,877859.3894652
0.0,877859.3895554
0.0,877859.3896462
0.0,877859.3897369
0.0,877859.3898273
0.0,877859.3899176
0.0,877859.3900091
0.0,877859.3900997
0.0,877859.3901906
0.0,877859.3902814
0.0,877859.3903768
0.0,877859.390468
0.0,877859.3905588
0.0,877859.3906498
0.0,877859.3907411
0.0,877859.3908319
3.0,877859.3909224
0.0,877859.3910139
0.0,877859.3911051
0.0,877859.391196
0.0,877859.391287
0.0,877859.3913776
0.0,877859.39147
0.0,877859.3915614
0.0,877859.3916521
0.0,877859.3917428
0.0,877859.3918342
0.0,877859.3919254
0.0,877859.3920165
0.0,877859.3921072
0.0,877859.3921987
0.0,877859.3922897
0.0,877859.3923806
0.0,877859.392471
0.0,877859.3925617
0.0,877859.3926523
0.0,877859.3927443
0.0,877859.3928351
0.0,877859.392926
0.0,877859.3930164
0.0,877859.393107
0.0,877859.3931987
0.0,877859.3932916
0.0,877859.3933841
0.0,877859.3934796
0.0,877859.3935724
0.0,877859.3936649
0.0,877859.3937569
0.0,877859.3938487
0.0,877859.3939392
0.0,877859.3940314
0.0,877859.3941224
0.0,877859.3942129
0.0,877859.3943035
0.0,877859.3943946
0.0,877859.394519
0.0,877859.3946616
0.0,877859.3947559
0.0,877859.3948484
0.0,877859.3949405
0.0,877859.3950318
0.0,877859.3951252
0.0,877859.3952164
0.0,877859.3953485
0.0,877859.3954408
0.0,877859.3955335
0.0,877859.3956257
0.0,877859.3957168
0.0,877859.3958082
0.0,877859.3958991
0.0,877859.3959903
0.0,877859.3960822
0.0,877859.3961741
0.0,877859.396266
0.0,877859.396357
0.0,877859.3964487
0.0,877859.3965406
0.0,877859.3966337
0.0,877859.3967264
0.0,877859.3968198
0.0,877859.3969113
0.0,877859.3970037
0.0,877859.3970943
0.0,877859.3971852
0.0,877859.3972774
0.0,877859.3973682
0.0,877859.3974596
0.0,877859.3975508
0.0,877859.397644
0.0,877859.3977372
0.0,877859.3978315
0.0,877859.3979268
0.0,877859.3980203
0.0,877859.3981119
0.0,877859.3982029
0.0,877859.3982941
0.0,877859.3983858
0.0,877859.3984772
0.0,877859.3985685
0.0,877859.3986609
0.0,877859.3987533
0.0,877859.3988446
0.0,877859.3989371
0.0,877859.3990294
0.0,877859.3991224
0.0,877859.3992154
0.0,877859.3993084
0.0,877859.3994001
0.0,877859.3994916
0.0,877859.3995829
0.0,877859.3996755
0.0,877859.3997663
0.0,877859.3998581
0.0,877859.3999492
0.0,877859.4000405
0.0,877859.400132
0.0,877859.400225
0.0,877859.4003168
0.0,877859.4004081
0.0,877859.4004991
0.0,877859.4005902
0.0,877859.4006812
0.0,877859.4007721
0.0,877859.4008639
0.0,877859.4009565
0.0,877859.4010505
0.0,877859.4011429
0.0,877859.4012359
0.0,877859.4013289
0.0,877859.4014225
0.0,877859.4015146
0.0,877859.4016067
0.0,877859.4016993
3.0,877859.4017908
0.0,877859.4018822
0.0,877859.4019739
0.0,877859.4020653
0.0,877859.4021576
0.0,877859.4022494
0.0,877859.4023412
0.0,877859.4024338
0.0,877859.4025254
0.0,877859.4026169
0.0,877859.402709
0.0,877859.4028003
0.0,877859.4028916
3.0,877859.4029823
0.0,877859.4030736
0.0,877859.4031645
0.0,877859.4032554
0.0,877859.4033465
0.0,877859.4034378
0.0,877859.4035309
0.0,877859.4036226
0.0,877859.4037142
0.0,877859.4038056
0.0,877859.4038969
3.0,877859.4039882
0.0,877859.4040801
